time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.532504017317266e-07,7.377963416631859e-06,10.00378967711064,0.001615014655709679,6.994747381749988e-05,0.0,-3.0440583293530125e-05,0.0004330416495685412,0.12631608506260555,-0.015172852629146862,-0.0043357847728211114,0.0,445.1027445512229,444.7478624110414,446.0372971100995,444.79674339577855
0.12000000000000001,-2.177267578307819e-05,8.807659622928983e-05,10.017160745196676,0.005873999171289945,0.0037888840350897013,0.0,-0.0011342126568021278,0.0027224784656823806,0.31934938525081225,0.008562340013015573,-0.027420264953918885,0.0,466.78032147702,464.97576381744983,464.2253399623097,466.08381249448024
0.18,-0.00016633650543122414,0.0003853274257818299,10.040586318602918,0.007285002487661174,0.002139669784915199,0.0,-0.003508254929516823,0.007328322167109391,0.4614554277654312,0.017807979838252545,-0.029600442438657462,0.0,450.2886004539633,450.1120255273078,449.8173997402555,450.565260000608
0.23999999999999996,-0.00042834778615757,0.0010070718921018115,10.074908557586326,0.008450707630858645,0.0022589013451721485,0.0,-0.005222846666838074,0.013532593509332497,0.6825120162400536,0.020228324451822294,-0.015672053113657818,0.0,472.85934023663094,473.93086141016107,474.5484592157598,474.73410343386985
0.3,-0.0008265660991463682,0.0020333325592567105,10.122851250886894,0.009704727315402728,0.009120706626482011,0.0,-0.008849679184746603,0.020831779451037695,0.915415305677416,0.016522560366774713,0.01374978881942007,0.0,476.7173429716084,478.9599686120665,477.7612618226189,477.47859889818585
0.36000000000000004,-0.0015754457259835627,0.0035232855577702464,10.183560410304928,0.012349898437462592,0.00999595832469602,0.0,-0.016217262225403345,0.02915541515532628,1.108051786856008,0.0011840223127918105,0.009816326037141165,0.0,467.8412431903461,467.53478880336013,465.4090844946868,464.207051696889
0.4200000000000001,-0.002734691949366161,0.0055024723939351506,10.250805653809739,0.012903669731950451,0.010574384670084314,0.0,-0.02247812496991529,0.03687557629851038,1.1334298945900216,-0.0077209500805091435,0.008199671831689367,0.0,413.9293898761112,413.7869964406036,414.1990214694931,413.4152491101005
0.48000000000000015,-0.0043319423925630976,0.008048804477417907,10.324444220528092,0.021116361073904244,0.011118303565455179,0.0,-0.030822195641352808,0.04890762516255939,1.3209758617703695,0.02336768722119582,0.009769631231965241,0.0,465.42429107907907,465.547011104007,463.6374284208204,466.07328464258387
0.5400000000000001,-0.006461935886749352,0.011496182855553946,10.409568239000741,0.025082944096128656,0.015826205830200557,0.0,-0.040696973172855117,0.06644105866988959,1.5162357350346212,0.039751156236937875,0.03084170159711951,0.0,467.88748387515864,469.52492509727335,466.51971451455717,467.7973028371127
0.6000000000000002,-0.009218239477978729,0.01597954382735489,10.502325313293563,0.027704734614556692,0.0176820962146218,0.0,-0.051356503208916555,0.08324956526476278,1.5755762853481678,0.044014181431568135,0.031086181457769178,0.0,426.4000588706673,426.4213122475777,425.82482396943186,426.1902918142266
0.6600000000000003,-0.012664810219802496,0.021536280534063857,10.598949079547076,0.03148769198681123,0.02227276030324532,0.0,-0.06395864627423993,0.10235321047563804,1.645097388687707,0.031045653901001273,0.04801055036518445,0.0,428.7662449817933,430.2022699246791,430.5197309237258,429.4220072597179
0.7200000000000003,-0.01702115187180399,0.028388161240085207,10.702318335628462,0.03336379967868641,0.027681656007989552,0.0,-0.0818256629211809,0.12624064439816268,1.800290258002592,0.031590375943500094,0.0642696899168864,0.0,455.87171340753224,457.1707795341681,457.223672968393,457.26737456549307
0.7800000000000004,-0.022462090503155542,0.036599933214391506,10.809740458032303,0.05407930964664498,0.04550828806492557,0.0,-0.10107874612748374,0.1492707463400555,1.780349045892601,-0.017147550614152143,0.022107288651678637,0.0,402.89184961956556,399.0638821971157,402.552244925471,398.1179413796028
0.8400000000000004,-0.02951838129262629,0.04668235963814007,10.919718751072836,0.05379032579171206,0.055883841310867766,0.0,-0.1352253668341002,0.18677831260910294,1.885367375094275,-0.027846281283431137,-0.012067460898225427,0.0,443.4267901702151,440.6106103951614,442.8154934418162,441.93458294672604
0.9000000000000005,-0.03869307039527321,0.05889810366359001,11.033785496186722,0.05568635195988758,0.06178313565926796,0.0,-0.17111226867210458,0.22060160536723925,1.9167575486870625,-0.04976980015229582,0.014950316147340504,0.0,417.92674990138113,420.2749352874407,419.49756103855077,417.58895416725227
0.9600000000000005,-0.05036264657943123,0.07338250054218348,11.1536278135122,0.054702080635654404,0.0641225146003741,0.0,-0.21810316532752483,0.2620679074301676,2.077689912870073,-0.03542428763449878,0.026960985020386703,0.0,459.6386973308714,460.5894596629154,459.6726873471853,460.8069192167962
1.0200000000000005,-0.06475415398116818,0.09020148999086627,11.280790180894094,0.052566264037685606,0.06628079072676751,0.0,-0.2618288469069345,0.29834132910890965,2.160889748632348,-0.03618026841683987,0.017617530290812592,0.0,436.80040998748666,436.0206412884867,436.82669629212114,436.76306788231835
1.0800000000000005,-0.0818278291631409,0.10916518797113753,11.41308577596946,0.05185785386903685,0.0702641249561804,0.0,-0.3076651869654951,0.3336855223410573,2.248762167987673,-0.02407895523382092,0.035194925788858335,0.0,438.18911785534925,439.6479317200981,437.5166325981878,438.5225562414254
1.1400000000000006,-0.10204490215048141,0.13046337807875627,11.555097592911258,0.05080593894554397,0.07281530724322938,0.0,-0.3665264228067197,0.37608881368873287,2.484451465754785,-0.018309179527041572,0.02663415079017164,0.0,483.61066449060905,482.9657486881269,483.9065590455549,484.3406939297273
